biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 8eb971 71a74d
biome 2 ffffff 8eb971 71a74d
biome 3 ffffff 8eb971 71a74d
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 ffffff 8eb971 71a74d
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff a0b676 87a353
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 8eb971 71a74d
biome 17 ffffff 8eb971 71a74d
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8eb971 71a74d
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 8eb971 71a74d
biome 31 ffffff 8eb971 71a74d
biome 32 ffffff 8eb971 71a74d
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff 8eb971 71a74d
biome 36 ffffff 8eb971 71a74d
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
blocktype * * normal
block 26 15 ffaf7474
block 27 * ab846c48
block 27 8 ab9a6846
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 98d7954d
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * bf580ac0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 * 46daf0f4
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * bf580ac0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 0 679f654c
block 165 1 67a88b31
block 165 2 676f7362
block 165 3 67927e82
block 165 4 67b7b0c1
block 165 5 675b5b4c
block 165 6 67625f64
block 165 7 67797559
block 165 8 67536742
block 165 9 67559e7e
block 165 10 67747877
block 165 11 67332319
block 165 12 678f8b89
block 165 13 67636161
block 165 14 83313327
block 165 15 764e4338
block 166 0 7fd58d79
block 166 1 767f817d
block 166 2 a79a959a
block 166 3 769d9d99
block 166 4 7670838f
block 166 5 76a69a88
block 166 6 66675b4f
block 166 7 769a9f4f
block 166 8 763c403a
block 166 9 766e8f83
block 166 10 74635b4f
block 166 11 989e515c
block 166 12 69cdd0cf
block 166 13 76a6a6a3
block 166 14 76646d57
block 166 15 768a542f
block 167 0 76a8a9a8
block 167 1 7460654b
block 167 2 744a548a
block 168 * ffa5a39f
block 168 1 ff8c8c8c
block 168 2 ff7d7d7d
block 168 9 ff8c8c8c
block 168 10 ff7d7d7d
block 169 * ff8a867e
block 169 1 ff35393c
block 169 2 ff727576
block 169 3 ff8d8d8e
block 169 9 ff35393c
block 169 10 ff727576
block 169 11 ff8d8d8e
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ffa08870
block 176 0 ff5c5b5d
block 176 2 ffaba4a2
block 176 3 ffa9a28e
block 176 4 ff887d66
block 176 5 ff605e61
block 176 6 ff755a4b
block 176 7 ffafaeaa
block 176 8 ff5c5b5d
block 176 10 ffaba4a2
block 176 11 ffa9a28e
block 176 12 ff887d66
block 176 13 ff605e61
block 176 14 ff755a4b
block 176 15 ffafaeaa
block 177 * ff9f9795
block 177 1 ff969085
block 177 2 ff7a7470
block 177 3 ff7a7e6c
block 177 4 ff8f8b7f
block 177 5 ffafaba9
block 177 9 ff969085
block 177 10 ff7a7470
block 177 11 ff7a7e6c
block 177 12 ff8f8b7f
block 177 13 ffafaba9
block 178 * fda4a29d
block 178 1 fe7f7f7f
block 178 2 fe787978
block 178 9 fe7f7f7f
block 178 10 fe787978
block 179 * ff86827a
block 179 1 ff313436
block 179 2 ff6c7071
block 179 3 ff8a8a8b
block 179 9 ff313436
block 179 10 ff6c7071
block 179 11 ff8a8a8b
block 180 * ff59565a
block 180 0 ff555456
block 180 1 ff9e846b
block 180 2 ffaaa3a0
block 180 3 ffa8a08b
block 180 4 ff84785f
block 180 6 ff705342
block 180 7 ffaeada9
block 180 8 ff555456
block 180 9 ff9e846b
block 180 10 ffaaa3a0
block 180 11 ffa8a08b
block 180 12 ff84785f
block 180 14 ff705342
block 180 15 ffaeada9
block 181 * ff9d9492
block 181 1 ff938d82
block 181 2 ff756e6a
block 181 3 ff757967
block 181 4 ff8a8679
block 181 5 ffaeaaa8
block 181 9 ff938d82
block 181 10 ff756e6a
block 181 11 ff757967
block 181 12 ff8a8679
block 181 13 ffaeaaa8
block 182 * ffaeaca6
block 182 1 ff8e8e8d
block 182 2 ff7b7b7b
block 182 9 ff8e8e8d
block 182 10 ff7b7b7b
block 183 * ff8b867d
block 183 1 ff262a2d
block 183 2 ff6c7172
block 183 3 ff909091
block 183 9 ff262a2d
block 183 10 ff6c7172
block 183 11 ff909091
block 184 * ffb4aa91
block 184 0 ff514f52
block 184 1 ffa8896a
block 184 2 ffb6ada9
block 184 4 ff887a5d
block 184 5 ff555256
block 184 6 ff704e3a
block 184 7 ffbbb9b5
block 184 8 ff514f52
block 184 9 ffa8896a
block 184 10 ffb6ada9
block 184 12 ff887a5d
block 184 13 ff555256
block 184 14 ff704e3a
block 184 15 ffbbb9b5
block 185 * ffa69c99
block 185 1 ff9b9385
block 185 2 ff776f6a
block 185 3 ff777c65
block 185 4 ff928c7d
block 185 5 ffbab6b3
block 185 9 ff9b9385
block 185 10 ff776f6a
block 185 11 ff777c65
block 185 12 ff928c7d
block 185 13 ffbab6b3
block 186 * fdadaaa5
block 186 1 fe828282
block 186 2 fe7a7a7a
block 186 9 fe828282
block 186 10 fe7a7a7a
block 187 * ff8a857c
block 187 1 ff262a2c
block 187 2 ff6c7071
block 187 3 ff8f8f90
block 187 9 ff262a2c
block 187 10 ff6c7071
block 187 11 ff8f8f90
block 188 * ffb9b8b3
block 188 0 ff504f52
block 188 1 ffa7886a
block 188 2 ffb5aca9
block 188 3 ffb2a990
block 188 4 ff877a5c
block 188 5 ff555256
block 188 6 ff704e3a
block 188 8 ff504f52
block 188 9 ffa7886a
block 188 10 ffb5aca9
block 188 11 ffb2a990
block 188 12 ff877a5c
block 188 13 ff555256
block 188 14 ff704e3a
block 189 * ffa59b98
block 189 1 ff9a9285
block 189 2 ff766e6a
block 189 3 ff767b65
block 189 4 ff918b7c
block 189 5 ffb9b5b1
block 189 9 ff9a9285
block 189 10 ff766e6a
block 189 11 ff767b65
block 189 12 ff918b7c
block 189 13 ffb9b5b1
block 190 * ff8c7f77
block 190 0 ff82756d
block 190 1 ff746c66
block 190 2 ff68615a
block 190 3 ff4e4642
block 190 4 ff937d6a
block 190 6 ff8a7d68
block 190 8 ff514844
block 190 9 ff836850
block 190 10 ff8f877e
block 190 11 ff72675b
block 190 12 ff342f2b
block 190 13 ff5f5a55
block 190 14 ff756d68
block 190 15 ff82756d
block 191 * ff8f857d
block 191 1 ff807671
block 191 2 ff65614d
block 191 3 ff766b5c
block 192 * ff9c9592
block 192 1 ff9d9d9b
block 192 2 ff898989
block 192 3 ff5a595b
block 192 4 ffa0876e
block 192 5 ffa9a29f
block 192 6 ffaca591
block 192 7 ff847a62
block 192 8 ff625f61
block 192 9 ff715745
block 192 10 ffafafab
block 192 11 ff8a867e
block 192 12 ff383c3e
block 192 13 ff6f7273
block 192 14 ff8c8c8e
block 193 * ffaeaca9
block 193 1 ff7a7672
block 193 2 ff787d6a
block 193 3 ff8a887c
block 194 * ff8f8b8d
block 194 1 ff878689
block 194 2 ff818083
block 194 3 ff747377
block 194 4 ff8f847e
block 194 5 ff949092
block 194 6 ff938f8a
block 194 7 ff85807a
block 194 8 ff767478
block 194 9 ff7e726f
block 194 10 ff959495
block 194 11 ff868484
block 194 12 ff67676b
block 194 13 ff7d7d80
block 194 14 ff88878a
block 195 * ff959395
block 195 1 ff807d7e
block 195 2 ff80807d
block 195 3 ff888684
block 196 * ff476c3d
block 197 * ff476c3d
block 198 * ff476c3d
block 199 * ff476c3d
block 200 * ff476c3d
block 201 * ff1e1914
block 202 * 6a466c3d
block 203 * 6a466c3d
block 204 * a220520a
block 204 0 a2747474
block 204 1 4e21550b
block 204 2 17163707
block 206 * ff54442b
block 207 * ff171111
block 209 * ff564e45
block 209 1 ff554e48
block 209 2 ff554e48
block 209 3 ff524b48
block 209 4 ff654a32
block 209 5 ff594c45
block 209 6 ff5b4e39
block 209 7 ff5d4d35
block 209 8 ff564d49
block 209 9 ff654937
block 209 11 ff5c4e42
block 209 12 ff353230
block 209 13 ff534f49
block 209 14 ff554e49
block 209 15 ff5a4c44
block 210 * ff5a4d3f
block 210 1 ff584d44
block 210 2 ff55503d
block 210 3 ff594e3e
block 210 4 ff584d45
block 211 0 ff742901
block 211 1 ff524c34
block 211 2 ff988658
block 211 3 ff6e341c
block 211 4 ffc89960
block 211 5 ff4f3112
block 211 6 ffc48f42
block 211 7 ffb7876c
block 211 8 ffcfbd97
block 211 9 ffd5ae78
block 211 10 ffcfaa90
block 211 11 ffaf8755
block 211 12 ffd2cec9
block 211 13 ffbec780
block 211 14 ff34370c
block 211 15 ffb68d90
block 212 0 ff742901
block 212 1 ff524c34
block 212 2 ff988658
block 212 3 ff6e341c
block 212 4 ffc89960
block 212 5 ff4f3112
block 212 6 ffc48f42
block 212 7 ffb7876c
block 212 8 ffcfbd97
block 212 9 ffd5ae78
block 212 10 ffcfaa90
block 212 11 ffaf8755
block 212 12 ffd2cec9
block 212 13 ffbec780
block 212 14 ff34370c
block 212 15 ffb68d90
block 213 * ff742901
block 214 * ff742901
block 215 1 875e581e
block 215 2 7b585224
block 215 3 8e5d591d
block 216 1 ff645f4c
block 216 2 ff988a6a
block 216 3 ff5e3215
block 216 4 ff9f784a
block 216 5 ff412c17
block 216 6 ffa27c3f
block 216 7 ff9e7459
block 216 8 ffb19f7d
block 216 9 ffbf9e68
block 216 10 ffaa917f
block 216 11 ffb49068
block 216 12 ffcdc7c2
block 216 13 ffa5a86c
block 216 14 ff333511
block 216 15 ffae887d
block 217 * ff563016
block 218 0 9a1d4a09
block 218 1 a5153607
block 218 2 9a21540b
block 218 3 a50e2304
block 218 4 9a2a6508
block 218 5 a51a4308
block 218 6 9a27620d
block 218 7 9a276f08
block 218 8 a50c1f04
block 218 9 a5091603
block 218 10 9a1b3002
block 218 11 a5245e05
block 218 12 9a235a0b
block 218 13 a5163807
block 218 14 e0193f08
block 218 15 c4183c08
block 219 * a9245b0c
block 220 1 6b5d6850
block 220 2 6b769654
block 220 3 74223d15
block 220 4 6b764935
block 220 5 6b2b691d
block 220 6 6b4e7445
block 220 7 754c7030
block 220 8 53333a21
block 220 9 604c402b
block 220 10 7c4d2e20
block 220 11 6b5e612c
block 220 12 5366430d
block 220 13 6b494e25
block 220 14 6b2d4b23
block 220 15 55305612
block 222 0 ff662500
block 222 1 ff373528
block 222 2 ff6a5c45
block 222 3 ff4d1c10
block 222 4 ffe1b082
block 222 5 ff321908
block 222 6 ff986127
block 222 7 ff844235
block 222 8 ffbfab8a
block 222 9 ff7f4928
block 222 10 ffb66d54
block 222 11 ffb98437
block 222 12 ffc1c2b5
block 222 13 ff8c9259
block 222 14 ff282e05
block 222 15 ff8f6983
block 223 * ff662500
block 224 * c6534836
block 225 * ff242424
block 225 1 ff212020
block 225 2 ff212020
block 225 3 ff222121
block 226 * ff3b2f15
block 226 1 ff5e2111
block 226 3 ff444e52
block 226 4 ff282c31
block 226 5 ff0f0f0f
block 226 6 ff13284b
block 226 7 ff3d0808
block 226 9 ff5e2111
block 226 11 ff444e52
block 226 12 ff282c31
block 226 13 ff0f0f0f
block 226 14 ff13284b
block 226 15 ff3d0808
block 227 0 ff6c4222
block 227 1 ff315b40
block 227 2 ff2c0933
block 227 8 ff6c4222
block 227 9 ff315b40
block 227 10 ff2c0933
block 228 * ff502214
block 229 * ff3f342f
block 229 8 ff7e523f
block 229 9 ff7e523f
block 229 10 ff7e523f
block 229 11 ff7e523f
block 229 12 ff7e523f
block 229 13 ff7e523f
